index,name,side,default_kind,frame_center_x_um,frame_center_y_um,frame_bbox_um,orientation,user_wrapper_pin_bbox_um
156,PAD_W15,W,analog,65,8000,0 7950 130 8050,R90,0 7262.727 20 7282.727
157,PAD_W16,W,analog,65,8500,0 8450 130 8550,R90,0 7717.273 20 7737.273
158,PAD_W17,W,analog,65,9000,0 8950 130 9050,R90,0 8171.818 20 8191.818
159,PAD_W18,W,analog,65,9500,0 9450 130 9550,R90,0 8626.364 20 8646.364
160,PAD_W19,W,analog,65,10000,0 9950 130 10050,R90,0 9080.909 20 9100.909
161,PAD_W20,W,analog,65,10500,0 10450 130 10550,R90,0 9535.455 20 9555.455
162,PAD_W21,W,analog,65,11000,0 10950 130 11050,R90,0 9990 20 10010
163,PAD_W22,W,analog,65,11500,0 11450 130 11550,R90,0 10444.545 20 10464.545
164,PAD_W23,W,analog,65,12000,0 11950 130 12050,R90,0 10899.091 20 10919.091
165,PAD_W24,W,analog,65,12500,0 12450 130 12550,R90,0 11353.636 20 11373.636
166,PAD_W25,W,analog,65,13000,0 12950 130 13050,R90,0 11808.182 20 11828.182
167,PAD_W26,W,analog,65,13500,0 13450 130 13550,R90,0 12262.727 20 12282.727
168,PAD_W27,W,analog,65,14000,0 13950 130 14050,R90,0 12717.273 20 12737.273
169,PAD_W28,W,analog,65,14500,0 14450 130 14550,R90,0 13171.818 20 13191.818
170,PAD_W29,W,analog,65,15000,0 14950 130 15050,R90,0 13626.364 20 13646.364
171,PAD_W30,W,analog,65,15500,0 15450 130 15550,R90,0 14080.909 20 14100.909
172,PAD_W31,W,analog,65,16000,0 15950 130 16050,R90,0 14535.455 20 14555.455
173,PAD_W32,W,analog,65,16500,0 16450 130 16550,R90,0 14990 20 15010
174,PAD_W33,W,analog,65,17000,0 16950 130 17050,R90,0 15444.545 20 15464.545
175,PAD_W34,W,analog,65,17500,0 17450 130 17550,R90,0 15899.091 20 15919.091
176,PAD_W35,W,analog,65,18000,0 17950 130 18050,R90,0 16353.636 20 16373.636
177,PAD_W36,W,analog,65,18500,0 18450 130 18550,R90,0 16808.182 20 16828.182
178,PAD_W37,W,analog,65,19000,0 18950 130 19050,R90,0 17262.727 20 17282.727
179,PAD_W38,W,analog,65,19500,0 19450 130 19550,R90,0 17717.273 20 17737.273
180,PAD_W39,W,analog,65,20000,0 19950 130 20050,R90,0 18171.818 20 18191.818
181,PAD_W40,W,analog,65,20500,0 20450 130 20550,R90,0 18626.364 20 18646.364
182,PAD_W41,W,analog,65,21000,0 20950 130 21050,R90,0 19080.909 20 19100.909
183,PAD_W42,W,analog,65,21500,0 21450 130 21550,R90,0 19535.455 20 19555.455
